Electricity:Facility,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4
381254.9182,9.760949074,74.10636574,128.5277006,30,10.63922684,8.654647841,0.684216563,0.000299285
370343.4577,5.489852151,75.55857975,140.3433766,31,10.63922684,8.654647841,0.684216563,0.000299285
415774.0277,-2.113575269,70.30320341,156.7973417,31,11.32675827,11.14955334,0.545140028,0.000338729
387552.5294,1.942956349,62.61458333,188.2471892,28,11.32675827,11.14955334,0.545140028,0.000338729
444537.123,5.43313172,62.39908154,197.9807721,31,11.32675827,11.14955334,0.545140028,0.000338729
459405.4418,12.56460648,68.95763889,135.3763503,30,11.32675827,11.14955334,0.545140028,0.000338729
554070.6759,17.91901882,74.3156362,192.3388217,31,11.32675827,11.14955334,0.545140028,0.000338729
589985.0787,22.21377315,69.30104167,225.3063657,30,11.32675827,11.14955334,0.545140028,0.000338729
640351.7777,26.66420251,66.30790771,284.5905765,31,11.32675827,11.14955334,0.545140028,0.000338729
636851.3257,23.04596774,77.16319444,219.8065636,31,11.32675827,11.14955334,0.545140028,0.000338729
576456.7131,20.35770833,84.16527778,153.3049769,30,11.32675827,11.14955334,0.545140028,0.000338729
488273.6113,12.89782706,75.73711918,157.4538157,31,11.32675827,11.14955334,0.545140028,0.000338729
439485.0362,9.760949074,74.10636574,128.5277006,30,11.32675827,11.14955334,0.545140028,0.000338729
427850.8751,5.489852151,75.55857975,140.3433766,31,11.32675827,11.14955334,0.545140028,0.000338729
405612.01,-2.113575269,70.30320341,156.7973417,31,12.72038081,9.821096155,0.647748262,0.000292944
378898.3088,1.942956349,62.61458333,188.2471892,28,12.72038081,9.821096155,0.647748262,0.000292944
435073.4046,5.43313172,62.39908154,197.9807721,31,12.72038081,9.821096155,0.647748262,0.000292944
449484.1925,12.56460648,68.95763889,135.3763503,30,12.72038081,9.821096155,0.647748262,0.000292944
542967.9034,17.91901882,74.3156362,192.3388217,31,12.72038081,9.821096155,0.647748262,0.000292944
577674.8915,22.21377315,69.30104167,225.3063657,30,12.72038081,9.821096155,0.647748262,0.000292944
626350.9619,26.66420251,66.30790771,284.5905765,31,12.72038081,9.821096155,0.647748262,0.000292944
623098.9261,23.04596774,77.16319444,219.8065636,31,12.72038081,9.821096155,0.647748262,0.000292944
564494.4981,20.35770833,84.16527778,153.3049769,30,12.72038081,9.821096155,0.647748262,0.000292944
477463.5317,12.89782706,75.73711918,157.4538157,31,12.72038081,9.821096155,0.647748262,0.000292944
429555.7348,9.760949074,74.10636574,128.5277006,30,12.72038081,9.821096155,0.647748262,0.000292944
418053.7887,5.489852151,75.55857975,140.3433766,31,12.72038081,9.821096155,0.647748262,0.000292944
455893.7684,-2.113575269,70.30320341,156.7973417,31,12.47164012,12.67563837,0.562235004,0.000313448
425849.459,1.942956349,62.61458333,188.2471892,28,12.47164012,12.67563837,0.562235004,0.000313448
489385.3866,5.43313172,62.39908154,197.9807721,31,12.47164012,12.67563837,0.562235004,0.000313448
503838.8429,12.56460648,68.95763889,135.3763503,30,12.47164012,12.67563837,0.562235004,0.000313448
605906.763,17.91901882,74.3156362,192.3388217,31,12.47164012,12.67563837,0.562235004,0.000313448
644179.2062,22.21377315,69.30104167,225.3063657,30,12.47164012,12.67563837,0.562235004,0.000313448
697777.4422,26.66420251,66.30790771,284.5905765,31,12.47164012,12.67563837,0.562235004,0.000313448
695444.5396,23.04596774,77.16319444,219.8065636,31,12.47164012,12.67563837,0.562235004,0.000313448
628594.9407,20.35770833,84.16527778,153.3049769,30,12.47164012,12.67563837,0.562235004,0.000313448
534919.1295,12.89782706,75.73711918,157.4538157,31,12.47164012,12.67563837,0.562235004,0.000313448
482133.3996,9.760949074,74.10636574,128.5277006,30,12.47164012,12.67563837,0.562235004,0.000313448
469757.9536,5.489852151,75.55857975,140.3433766,31,12.47164012,12.67563837,0.562235004,0.000313448
462037.5807,-2.113575269,70.30320341,156.7973417,31,12.79341012,12.83418161,0.582602866,0.00031943
431671.2724,1.942956349,62.61458333,188.2471892,28,12.79341012,12.83418161,0.582602866,0.00031943
496261.7306,5.43313172,62.39908154,197.9807721,31,12.79341012,12.83418161,0.582602866,0.00031943
510433.5275,12.56460648,68.95763889,135.3763503,30,12.79341012,12.83418161,0.582602866,0.00031943
613614.2149,17.91901882,74.3156362,192.3388217,31,12.79341012,12.83418161,0.582602866,0.00031943
652388.3497,22.21377315,69.30104167,225.3063657,30,12.79341012,12.83418161,0.582602866,0.00031943
706412.4245,26.66420251,66.30790771,284.5905765,31,12.79341012,12.83418161,0.582602866,0.00031943
703979.3848,23.04596774,77.16319444,219.8065636,31,12.79341012,12.83418161,0.582602866,0.00031943
636226.3858,20.35770833,84.16527778,153.3049769,30,12.79341012,12.83418161,0.582602866,0.00031943
541671.1688,12.89782706,75.73711918,157.4538157,31,12.79341012,12.83418161,0.582602866,0.00031943
488519.9732,9.760949074,74.10636574,128.5277006,30,12.79341012,12.83418161,0.582602866,0.00031943
476092.96,5.489852151,75.55857975,140.3433766,31,12.79341012,12.83418161,0.582602866,0.00031943
364337.2045,-2.113575269,70.30320341,156.7973417,31,9.014288409,9.934934094,0.599777205,0.000254354
339448.507,1.942956349,62.61458333,188.2471892,28,9.014288409,9.934934094,0.599777205,0.000254354
388360.9261,5.43313172,62.39908154,197.9807721,31,9.014288409,9.934934094,0.599777205,0.000254354
404018.381,12.56460648,68.95763889,135.3763503,30,9.014288409,9.934934094,0.599777205,0.000254354
